YEARQ,IDHH,ICPSR,PANEL_ROT_GROUP
2020.1,1602863965354089568244117,2,17
2020.1,1602863965354089568244117,2,17
2020.1,1602863984689473568244437,26,37
2020.1,1602864658526114568282121,8,21
2020.1,1602865258023602568232117,1,17
2020.1,1602865258023602568232117,1,17
2020.1,1605011958322725564549111,1,11
2020.1,1605040292138331568236117,1,17
2020.1,1605041358399479568234127,6,27
2020.1,1605045215468393568232231,11,31
2020.1,1605225233024922565932321,7,21
2020.1,1605240299563781563236137,15,37
2020.1,1605240299563781563236137,15,37
2020.1,1605244199565283563259111,4,11
2020.1,1605261699493760563245231,7,31
2020.1,1605496884029324568256211,6,11
2020.1,1605601315023943564434131,12,31
2020.1,1605601315826012564434111,1,11
2020.1,1605601692191490564445317,2,17
2020.1,1605651933684101565949121,5,21
2020.1,1605663908358029564944127,6,27
2020.1,1605664684528094564982127,6,27
2020.1,1605671925356215563649111,3,11
2020.1,1605674133387832563659437,8,37
2020.1,1605676803590259563656137,11,37
2020.1,1605693515399050565638111,2,11
2020.1,1605695203497690565632231,8,31
2020.1,1605750292168578563436231,12,31
2020.1,1605753592591364563438137,10,37
2020.1,1605774692527590563882131,11,31
2020.1,1605781665821936584945121,5,21
2020.1,1605783915137150564944331,11,31
2020.1,1605783915137150564944331,11,31
2020.1,1605783915137150564944331,11,31
2020.1,1605783915137150564944331,11,31
2020.1,1605786825591913564956127,8,27
2020.1,1605804103345178563659117,2,17
2020.1,1605804692526610563682137,9,37
2020.1,1605805258466676563632421,8,21
2020.1,1605813925321357583444131,24,31
2020.1,1605831333020492585934617,23,17
2020.1,1605831333020492585934617,23,17
2020.1,1605831333020492585934617,23,17
2020.1,1605831333020492585934617,23,17
2020.1,1605833533394187565938217,4,17
2020.1,1605930299358903565936127,5,27
2020.1,1605930299358903565936127,5,27
2020.1,1605934199138962565959431,10,31
2020.1,1605961603592527565645211,4,11
2020.1,1605964633526876565682137,11,37
2020.1,1605965203460125565632137,7,37
2020.1,1605966803196880565656111,37,11
2020.1,1651073903451849564544237,10,37
2020.1,1651104615356422563882131,37,31
2020.1,1651140203569519564436121,6,21
2020.1,1651275233446876565632131,12,31
2020.1,1651374165355274563259111,1,11
2020.1,1651401333412369565934211,2,11
2020.1,1651401333412369565934211,2,11
2020.1,1651401333412369565934211,2,11
2020.1,1651431925135827563449221,6,21
2020.1,1651431925135827563449221,6,21
2020.1,1651431925135827563449221,6,21
2020.1,1651471684399168563245221,6,21
2020.1,1651471699443292563245321,35,21
2020.1,1651553558029671564538111,3,11
2020.1,1651625233367083564932211,3,11
2020.1,1651671933680225563649321,4,21
2020.1,1651791303199081565634121,28,21
2020.1,1651811392198506563434111,2,11
2020.1,1651861958132268568249121,5,21
2020.1,1651865284596109568232427,7,27
2020.1,1651874199329991563259121,5,21
2020.1,1651881315192018563834131,10,31
2020.1,1651883508393182563838111,3,11
2020.1,1651964603357695565682111,32,11
2020.1,1651970265682150564936117,1,17
2020.1,1651971965162186564949127,8,27
2020.1,1651983565821564564538217,2,17
2020.1,1651983565821564564538217,2,17
2020.1,1657031615461065563445221,4,21
2020.1,1657031992136344563449317,2,17
2020.1,1657083965689342568244327,6,27
2020.1,1657084658323625568282111,3,11
2020.1,1657084658323625568282111,3,11
2020.1,1657086884464017568256117,4,17
2020.1,1657151958167655565649127,5,27
2020.1,1657155233363810565632131,9,31
2020.1,1657183933386853565644117,1,17
2020.1,1657210203520233563636131,10,31
2020.1,1657231658366192568245131,11,31
2020.1,1657235258824690568232137,12,37
2020.1,1657255265595358564532217,2,17
2020.1,1657303925483418564544131,9,31
2020.1,1657321384492616563234121,6,21
2020.1,1657323999169915563244127,1,27
2020.1,1657323999169915563244127,1,27
2020.1,1657326899393287563256117,2,17
2020.1,1657331608495927563645127,8,27
2020.1,1657361633360007565945211,2,11
2020.1,1657371692194739563245117,3,17
2020.1,1657371692194739563245117,3,17
2020.1,1657371692194739563245117,3,17
2020.1,1657371692194739563245117,3,17
2020.1,1657371692194739563245117,3,17
2020.1,1657374684529936563282111,2,11
2020.1,1657383525397967564538231,8,31
2020.1,1657440292164864564436311,1,11
2020.1,1657445292027225564432131,19,31
2020.1,1657446815414852564456221,6,21
2020.1,1657450208168526563436137,11,37
2020.1,1657511365197312564934137,5,37
2020.1,1657511365197312564934137,5,37
2020.1,1657511365197312564934137,5,37
2020.1,1657560215523521563836111,2,11
2020.1,1657561915323153563849137,31,37
2020.1,1657561915325042563849217,4,17
2020.1,1657561915325042563849217,4,17
2020.1,1657561915325042563849217,4,17
2020.1,1657561915325042563849217,4,17
2020.1,1657561915325042563849217,4,17
2020.1,1657561915453169563849217,3,17
2020.1,1657563915323167563844317,4,17
2020.1,1657564615355025563882331,18,31
2020.1,1657565299497540563832121,7,21
2020.1,1657581908528118563849227,7,27
2020.1,1657593525498074564938217,4,17
2020.1,1657623965167343564944117,3,17
2020.1,1657631999164304563849121,8,21
2020.1,1657631999164304563849121,8,21
2020.1,1657634615166401563882117,3,17
2020.1,1657634615166401563882117,3,17
2020.1,1657634615166401563882117,3,17
2020.1,1657634615166401563882117,3,17
2020.1,1657653984162353565944217,1,17
2020.1,1657654199320457565959121,6,21
2020.1,1657701608465701563645117,2,17
2020.1,1657701608465701563645117,2,17
2020.1,1657701608845983563645111,1,11
2020.1,1657701608845983563645111,1,11
2020.1,1657703508026250563638217,2,17
2020.1,1657703508026250563638217,2,17
2020.1,1657703508026250563638217,2,17
2020.1,1657705208196658563632117,6,17
2020.1,1657714108355924563659117,1,17
2020.1,1657824108685711563659137,11,37
2020.1,1657840265526751564936127,8,27
2020.1,1657863558394035568238217,2,17
2020.1,1657926808824419564456137,9,37
2020.1,1657926892824824564456227,6,27
2020.1,1657951608191416564445111,4,11
2020.1,1657954108347259564459217,2,17
2020.1,1657954199351465564459137,12,37
2020.1,1657955299827238564432111,4,11
2020.1,1657991658393760563245227,7,27
2020.1,1657993999458733563244121,12,21
2020.1,1659050292022198564932127,8,27
2020.1,1659051325026728564934121,5,21
2020.1,1659051933462174564938127,8,27
2020.1,1659124692354860564482217,39,17
2020.1,1659171603418165563845117,1,17
2020.1,1659171615166479563844121,3,21
2020.1,1659173558686474563859127,5,27
2020.1,1659201692411393563445121,5,21
2020.1,1659201933525686563449127,7,27
2020.1,1659203925351329563444127,25,27
2020.1,1659215203026659563632121,5,21
2020.1,1659271633392565565645117,1,17
2020.1,1659281633354450564444231,11,31
2020.1,1659284125414469564445121,8,21
2020.1,1659284125414469564445121,8,21
2020.1,1659284125414469564445121,8,21
2020.1,1659284633164456564482121,5,21
2020.1,1659286815024414564434121,5,21
2020.1,1659294658023634568234121,6,21
2020.1,1659321684445215563245117,4,17
2020.1,1659325299195265583232517,45,17
2020.1,1659326858827463563256121,8,21
2020.1,1659326858827463563256121,8,21
2020.1,1659343503029042565638231,9,31
2020.1,1659345203413878565632121,5,21
2020.1,1659360284352954565936121,6,21
2020.1,1659361933524138585949517,37,17
2020.1,1659383958321600564544231,34,31
2020.1,1659383958321600564544231,34,31
2020.1,1659386865391656564556221,8,21
2020.1,1659421658596169568245111,10,11
2020.1,1659424658353685568282127,5,27
2020.1,1659441699462825564445221,6,21
2020.1,1659443592197250564438211,2,11
2020.1,1659443592197250564438211,2,11
2020.1,1659443592197250564438211,2,11
2020.1,1659445258192813564432227,6,27
2020.1,1659450292135681563436111,1,11
2020.1,1659455292191356563432121,6,21
2020.1,1659491958564615568249317,3,17
2020.1,1659494184163647568259127,5,27
2020.1,1659533903133086565644111,2,11
2020.1,1659533903133086565644111,2,11
2020.1,1659535203029090565632327,43,27
2020.1,1659540233025722563632237,11,37
2020.1,1659540233025722563632237,11,37
2020.1,1659541608366265563645221,13,21
2020.1,1659543558685740563659121,8,21
2020.1,1659551965689628564549121,6,21
2020.1,1659554165395383564545127,5,27
2020.1,1659556808415367564556317,2,17
2020.1,1659556808415367564556317,2,17
2020.1,1659560215383533563836311,26,11
2020.1,1659565215193538583832517,40,17
2020.1,1659591325462116564934111,2,11
2020.1,1659591365395450564934211,4,11
2020.1,1659591365395450564934211,4,11
2020.1,1659591365395450564934211,4,11
2020.1,1659591365415431564934127,8,27
2020.1,1659591925163307564949227,5,27
2020.1,1659594108137356564959331,10,31
2020.1,1659594625685490564982127,3,27
2020.1,1659723592594464564438111,15,11
2020.1,1659723592594464564438111,15,11
2020.1,1659723592594464564438111,15,11
2020.1,1659731984525923563649317,4,17
2020.1,1659743999525296563244131,31,31
2020.1,1659744184682499563259131,9,31
2020.1,1659760265355335564536331,9,31
2020.1,1659764158521810564559327,23,27
2020.1,1659764165686913564559111,3,11
2020.1,1659765265021651564532231,9,31
2020.1,1659820208350265583636517,48,17
2020.1,1659820208350265583636517,48,17
2020.1,1659820208350265583636517,48,17
2020.1,1659821984529723563649127,8,27
2020.1,1659821984529723563649127,8,27
2020.1,1659824608160238583682517,39,17
2020.1,1659824608160238583682517,39,17
2020.1,1659871399463202563232217,1,17
2020.1,1659871399463202563232217,1,17
2020.1,1659871399463202563232217,1,17
2020.1,1659881358024579563834127,6,27
2020.1,1659883508164551563859217,2,17
2020.1,1659915299363755563232121,8,21
2020.1,1659944184138902565959211,2,11
2020.1,1659945299198963565932137,10,37
2020.1,1659981915393473564538221,7,21
2020.1,1659983965523414564582121,8,21
2020.1,1659984608163410564582131,9,31
2020.1,1662006858419363568256317,4,17
2020.1,1662041684462228568245127,3,27
2020.1,1662044684138377568282121,17,21
2020.1,1662121392359243564434211,4,11
2020.1,1662203925135881563444211,3,11
2020.1,1662203925135881563444211,3,11
2020.1,1662206892821021563456217,1,17
2020.1,1662240258523782563236127,6,27
2020.1,1662241392392692563234411,1,11
2020.1,1662241392392692563234411,1,11
2020.1,1662241684469976563245111,2,11
2020.1,1662261999053207563249231,9,31
2020.1,1662266899829199563256127,18,27
2020.1,1662294158689387568259131,8,31
2020.1,1662295284462236568232131,3,31
2020.1,1662360299520884565936111,4,11
2020.1,1662364133324983565959217,3,17
2020.1,1662381965386941564549137,12,37
2020.1,1662384665643411564582117,1,17
2020.1,1662384665643411564582117,1,17
2020.1,1662443903687245564444131,11,31
2020.1,1662451325447748563434227,5,27
2020.1,1662451325447748563434227,5,27
2020.1,1662451325928827563434117,2,17
2020.1,1662485292419294564432121,27,21
2020.1,1662491984034007568249137,9,37
2020.1,1662494684168395568282221,8,21
2020.1,1662601392754814564434121,5,21
2020.1,1662606892274473564456337,9,37
2020.1,1662664615686795564982137,12,37
2020.1,1662665265195455564932237,8,37
2020.1,1662666865025466564956131,11,31
2020.1,1662670208680575563636111,1,11
2020.1,1662670208680575563636111,1,11
2020.1,1662783565398280564938331,22,31
2020.1,1662803903137870563644111,3,11
2020.1,1662806833467871563656221,4,21
2020.1,1662811392417723563434237,11,37
2020.1,1662813992161035563444211,3,11
2020.1,1662831665020036565945121,5,21
2020.1,1662881615446415563845237,5,37
2020.1,1662903958529606564544331,9,31
2020.1,1662903958529606564544331,9,31
2020.1,1662903958529606564544331,9,31
2020.1,1662931633554907565945231,10,31
2020.1,1662933933284933585944321,20,21
2020.1,1662984625359617564582121,4,21
2020.1,1666023525196721564938117,7,17
2020.1,1666026825021999564956221,3,21
2020.1,1666026825021999564956221,3,21
2020.1,1666026865028299564956131,6,31
2020.1,1666026865028299564956131,6,31
2020.1,1666026892192110564956137,12,37
2020.1,1666061303416860565634211,1,11
2020.1,1666080258133675568236131,8,31
2020.1,1666080258133675568236131,8,31
2020.1,1666136833694511563856121,6,21
2020.1,1666161933686814565649131,10,31
2020.1,1666164603136858585682327,33,27
2020.1,1666164603136858585682327,33,27
2020.1,1666171615463560563845111,3,11
2020.1,1666190299805933563636117,2,17
2020.1,1666193599197871563638137,11,37
2020.1,1666193599197871563638137,11,37
2020.1,1666193599197871563638137,11,37
2020.1,1666193599197871563638137,11,37
2020.1,1666351925355696563449117,3,17
2020.1,1666394692359288564482131,9,31
2020.1,1666394692359288564482131,9,31
2020.1,1666460299138984565936137,12,37
2020.1,1666526884693224563256121,6,21
2020.1,1666651933680053565949217,3,17
2020.1,1666654133684161565959137,7,37
2020.1,1666656899414113565956111,4,11
2020.1,1666680258683499564536231,7,31
2020.1,1666681325461679564534117,1,17
2020.1,1666681325461679564534117,1,17
2020.1,1666681625411693564545127,5,27
2020.1,1666681692395395564545121,7,21
2020.1,1666681692395395564545121,7,21
2020.1,1666681692395395564545121,7,21
2020.1,1666780265131974564936121,19,21
2020.1,1678054665343338564982131,22,31
2020.1,1678076865390699564556327,6,27
2020.1,1678091633394127565945311,4,11
2020.1,1678091999352315565949111,3,11
2020.1,1678091999352315565949111,3,11
2020.1,1678094199684110565959127,7,27
2020.1,1678110203523519563836121,5,21
2020.1,1678110203523519563836121,5,21
2020.1,1678110203523519563836121,5,21
2020.1,1678111333166459563836137,12,37
2020.1,1678116808025073563856137,9,37
2020.1,1678116808025073563856137,9,37
2020.1,1678120215386067564436211,2,11
2020.1,1678140208522882564436131,10,31
2020.1,1678141392469543564434117,4,17
2020.1,1678141608393961564445227,5,27
2020.1,1678141608393961564445227,5,27
2020.1,1678144633164828564482137,12,37
2020.1,1678144633164828564482137,12,37
2020.1,1678145292027293564432131,23,31
2020.1,1678146803394847564456111,2,11
2020.1,1678201392461316563434331,10,31
2020.1,1678201392461316563434331,10,31
2020.1,1678201392461316563434331,10,31
2020.1,1678201392461316563434331,10,31
2020.1,1678223533824929565938127,5,27
2020.1,1678294658686517568282117,1,17
2020.1,1678420258568375568236127,5,27
2020.1,1678430208528884563436121,8,21
2020.1,1678431625445607563445127,6,27
2020.1,1678431915521739563449121,14,21
2020.1,1678433515468882563438131,11,31
2020.1,1678433592411773563438237,11,37
2020.1,1678433915521745563444111,3,11
2020.1,1678471384167473563236217,1,17
2020.1,1678471384167473563236217,1,17
2020.1,1678473558022473563238211,3,11
2020.1,1678473999133742563244137,46,37
2020.1,1678476884445270563256117,1,17
2020.1,1678504125347762563459121,6,21
2020.1,1678564115350322563859211,4,11
2020.1,1678621925167048564949111,2,11
2020.1,1678621965527118564949131,11,31
2020.1,1678711308165775563636117,1,17
2020.1,1678711908685906563649221,6,21
2020.1,1678714603340265563682131,10,31
2020.1,1678714633165968563682111,3,11
2020.1,1678795284357604565649311,4,11
2020.1,1678851308368175563834221,8,21
2020.1,1678861692139479568244131,9,31
2020.1,1678863584462243568238127,6,27
2020.1,1678865225198390568232137,12,37
2020.1,1678866833689477568282131,9,31
2020.1,1678880208134564563836127,5,27
2020.1,1678883508410304563838321,5,21
2020.1,1678884633684572563882137,10,37
2020.1,1678893584366549568238137,1,37
2020.1,1678970215351935564936117,1,17
2020.1,1678973915523315564944117,1,17
2020.1,1678984125521546564559337,12,37
2020.1,1684040284768305568236211,4,11
2020.1,1684040284768305568236211,4,11
2020.1,1684043525443680568238211,3,11
2020.1,1684046858823697568256217,3,17
2020.1,1684061303412506565634317,2,17
2020.1,1684201925685892563449221,10,21
2020.1,1684204125166305563459131,10,31
2020.1,1684213958340275563644237,8,37
2020.1,1684213958340275563644237,8,37
2020.1,1684213958340275563644237,8,37
2020.1,1684241625493292563245327,7,27
2020.1,1684241625493292563245327,7,27
2020.1,1684241625493292563245327,7,27
2020.1,1684274199345563565659137,11,37
2020.1,1684281392197243564434221,8,21
2020.1,1684281392197243564434221,8,21
2020.1,1684286892193932564456211,6,11
2020.1,1684293558593671568238127,4,27
2020.1,1684293558593671568238127,4,27
2020.1,1684306865823432564556137,10,37
2020.1,1684403999380869565944117,1,17
2020.1,1684420258134071568236131,7,31
2020.1,1684421984343692588249331,29,31
2020.1,1684423584593671568238131,11,31
2020.1,1684531333415589565634121,6,21
2020.1,1684570292527126564936111,3,11
2020.1,1684571965358201564949121,1,21
2020.1,1684571965358201564949121,1,21
2020.1,1684571965358201564949121,1,21
2020.1,1684571965358201564949121,1,21
2020.1,1684574165527366564959231,30,31
2020.1,1684574165527366564959231,30,31
2020.1,1684614699522913565982111,1,11
2020.1,1684643915351379563444227,5,27
2020.1,1684661392413364564934111,4,11
2020.1,1684663925343367564944121,12,21
2020.1,1684691333412512565634231,8,31
2020.1,1684751303008535563434137,12,37
2020.1,1684753903151375563444127,6,27
2020.1,1684763565391699564538131,24,31
2020.1,1684765265411558564532321,6,21
2020.1,1684765265411558564532321,6,21
2020.1,1684776815577547563856121,6,21
2020.1,1684801603596644563645321,10,21
2020.1,1684801603845922563645121,4,21
2020.1,1684801603845922563645121,4,21
2020.1,1684801603845922563645121,4,21
2020.1,1684801903760290563649127,1,27
2020.1,1684804108646647563659121,5,21
2020.1,1684804108646647563659121,5,21
2020.1,1684804184105797563659231,14,31
2020.1,1684851308023518563834117,2,17
2020.1,1684851908386415563849127,7,27
2020.1,1684851908386415563849127,7,27
2020.1,1684853915320303563844231,3,31
2020.1,1684874658359156563282221,5,21
2020.1,1684884115163161563859211,4,11
2020.1,1684884615165088563882337,9,37
2020.1,1684884615165088563882337,9,37
2020.1,1684890284569470568236221,4,21
2020.1,1684894184688394568259127,28,27
2020.1,1684943584364126565938121,8,21
2020.1,1684946865494182565956117,1,17
2020.1,1684973515598229564938121,5,21
2020.1,1684973515598229564938121,5,21
2020.1,1684973515598229564938121,5,21
2020.1,1697123508466031564438111,2,11
2020.1,1697124115353924564459121,5,21
2020.1,1697180203137699565636127,3,27
2020.1,1697211303025948563634211,1,11
2020.1,1697211333197829563634221,7,21
2020.1,1697211933135795563649111,2,11
2020.1,1697213999167854563644111,4,11
2020.1,1697303958135315564544217,9,17
2020.1,1697304158356994564559137,4,37
2020.1,1697534133687663565659131,11,31
2020.1,1697534603136809565682127,46,27
2020.1,1697571625392101564945311,2,11
2020.1,1697571625392101564945311,2,11
2020.1,1697573525412126564938131,12,31
2020.1,1697631615198127563845131,12,31
2020.1,1697641608391076563445427,6,27
2020.1,1697641992138501563449111,1,11
2020.1,1697641992138501563449111,1,11
2020.1,1697641992138501563449111,1,11
2020.1,1697643915161031563444211,3,11
2020.1,1697646892395851563456231,11,31
2020.1,1697743958522682563244111,4,11
2020.1,1697744658132640563282417,2,17
2020.1,1697760292356999564536227,7,27
2020.1,1697764108685340564559121,8,21
2020.1,1697764165163452564559227,5,27
2020.1,1697764192685358564559317,3,17
2020.1,1697850233357521563836137,10,37
2020.1,1697851608443594563845311,1,11
2020.1,1697855208190351563832131,9,31
2020.1,1697855299026493563832117,3,17
2020.1,1697856808493510563856121,8,21
2020.1,1697893525028399568238227,8,27
2020.1,1697896858193652568256127,6,27
2020.1,1697941699414930565945121,6,21
2020.1,1697945299398958565932111,2,11
2020.1,1697951692194894564445137,1,37
2020.1,1710071625466939564545212,3,12
2020.1,1710071658392772564545113,15,13
2020.1,1710071908682725564549112,5,12
2020.1,1710071925195391564538112,4,12
2020.1,1710071925195391564538112,4,12
2020.1,1710073565461620564538213,2,13
2020.1,1710073565461620564538213,2,13
2020.1,1710073925520615564544133,9,33
2020.1,1710074625681830564582132,10,32
2020.1,1710074625681830564582132,10,32
2020.1,1710076865391556564556123,8,23
2020.1,1710091333462386565934112,3,12
2020.1,1710093503198981565938132,10,32
2020.1,1710093984680470565944213,4,13
2020.1,1710094633354192585982123,29,23
2020.1,1710096899022921565956232,9,32
2020.1,1710110225416494563832122,7,22
2020.1,1710113915680396563844113,5,13
2020.1,1710113915680396563844113,5,13
2020.1,1710143915163942564444222,6,22
2020.1,1710143915163942564444222,6,22
2020.1,1710146815462852564456232,10,32
2020.1,1710146815462852564456232,10,32
2020.1,1710271333416895565634112,1,12
2020.1,1710271333416895565634112,1,12
2020.1,1710274603683815585682133,10,33
2020.1,1710274699132558565682113,1,13
2020.1,1710281392469212564434132,1,32
2020.1,1710281915139238564449233,9,33
2020.1,1710281915139238564449233,9,33
2020.1,1710281915359290564449112,1,12
2020.1,1710286808393957564456122,7,22
2020.1,1710293558393682568238232,11,32
2020.1,1710293984163608568244113,2,13
2020.1,1710293984163608568244113,2,13
2020.1,1710295265416559568232113,1,13
2020.1,1710360299680884565936133,12,33
2020.1,1710400299684120565936113,1,13
2020.1,1710435225021334583432223,25,23
2020.1,1710435225028807563432122,20,22
2020.1,1710435292396390563432113,4,13
2020.1,1710475208357427563249123,7,23
2020.1,1710475225192402563232133,9,33
2020.1,1710476884687439563282113,4,13
2020.1,1710551358820603564534212,4,12
2020.1,1710575225027168564932222,8,22
2020.1,1710623925525470564944232,12,32
2020.1,1710623965137343564944123,7,23
2020.1,1710624125355424564959123,5,23
2020.1,1710625292397059564932112,1,12
2020.1,1710625292397059564932112,1,12
2020.1,1710711908130234583649323,22,23
2020.1,1710713503399780563638212,3,12
2020.1,1710713503399780563638212,3,12
2020.1,1710714108135987563659133,12,33
2020.1,1710714699395795563634133,9,33
2020.1,1710715284355768563649412,1,12
2020.1,1710715284355768563649412,1,12
2020.1,1710731399395981563634112,4,12
2020.1,1710731399395981563634112,4,12
2020.1,1710731999168441563649132,12,32
2020.1,1710733903528433563644233,12,33
2020.1,1710791303196834585634323,21,23
2020.1,1710791303410795565634112,1,12
2020.1,1710791633396865565645123,5,23
2020.1,1710791633396865565645123,5,23
2020.1,1710794199027612565645122,7,22
2020.1,1710794699683048565682123,8,23
2020.1,1710796825467684565656113,3,13
2020.1,1710796825467684565656113,3,13
2020.1,1710796833687665565682233,10,33
2020.1,1710861984520998568249123,5,23
2020.1,1710863558028304568238122,5,22
2020.1,1710863592529458568259232,11,32
2020.1,1710863592529458568259232,11,32
2020.1,1710863958682200568244113,2,13
2020.1,1710863984353675568244113,3,13
2020.1,1710864658686192568282212,4,12
2020.1,1711000284326151568236133,12,33
2020.1,1711004684424690568282213,14,13
2020.1,1711010225543435564536123,5,23
2020.1,1711011658829634564545213,3,13
2020.1,1711011958663469564549123,7,23
2020.1,1711011965350672564549132,7,32
2020.1,1711014165689677564559122,7,22
2020.1,1711044658134614568282112,4,12
2020.1,1711045292026165568232113,3,13
2020.1,1711046884466578568256112,3,12
2020.1,1711101608467518563845232,12,32
2020.1,1711101915667523563849112,4,12
2020.1,1711204125341091563459113,1,13
2020.1,1711204125561340563459232,12,32
2020.1,1711243558022449563238132,9,32
2020.1,1711244199139111563259122,7,22
2020.1,1711245299392410563232232,6,32
2020.1,1711246865413759563256222,7,22
2020.1,1711261384503279563234112,2,12
2020.1,1711264684352693563282113,2,13
2020.1,1711264684352693563282113,2,13
2020.1,1711271333190186565634132,8,32
2020.1,1711281392399295564434133,9,33
2020.1,1711281392399295564434133,9,33
2020.1,1711321684023701563245112,2,12
2020.1,1711323984162464563244123,7,23
2020.1,1711325292599902563232132,9,32
2020.1,1711325292599902563232132,9,32
2020.1,1711325292599902563232132,9,32
2020.1,1711325292599902563232132,9,32
2020.1,1711325292599902563232132,9,32
2020.1,1711325292599902563232132,9,32
2020.1,1711365284412322565932132,11,32
2020.1,1711444692324807564482113,3,13
2020.1,1711453915681770563444113,4,13
2020.1,1711453915681770563444113,4,13
2020.1,1711484115383978564459112,2,12
2020.1,1711490258162257568236112,4,12
2020.1,1711490258162257568236112,4,12
2020.1,1711490258162257568236112,4,12
2020.1,1711535233522561565632113,3,13
2020.1,1711561615467530563845123,5,23
2020.1,1711563508460321563838123,7,23
2020.1,1711590265167131564936113,1,13
2020.1,1711594165457184564959122,14,22
2020.1,1711603592392833564438132,7,32
2020.1,1711603592392833564438132,7,32
2020.1,1711603592392833564438132,7,32
2020.1,1711603592592821564438222,7,22
2020.1,1711603592592821564438222,7,22
2020.1,1711676833396670563656112,1,12
2020.1,1711695265410110565632232,8,32
2020.1,1711731908565734563649123,8,23
2020.1,1711751692465894563445113,1,13
2020.1,1711761365351545564534123,8,23
2020.1,1711765265521588564532122,6,22
2020.1,1711773508363524563838123,8,23
2020.1,1711774108137585563859113,3,13
2020.1,1711774115135022563859113,4,13
2020.1,1711774115135022563859113,4,13
2020.1,1711774115135022563859113,4,13
2020.1,1711774115135022563859113,4,13
2020.1,1711774115135022563859113,4,13
2020.1,1711783592028042564938132,9,32
2020.1,1711784615168012564982222,8,22
2020.1,1711803584197823563638113,1,13
2020.1,1711804699355128563682223,8,23
2020.1,1711813525391389563438222,13,22
2020.1,1711814125168832563459123,1,23
2020.1,1711821603125996563645132,8,32
2020.1,1711831365192342565934112,3,12
2020.1,1711831365192342565934112,3,12
2020.1,1711831365192342565934112,3,12
2020.1,1711834199354126565959222,5,22
2020.1,1711871925132638563249112,1,12
2020.1,1711883508468150563838123,4,23
2020.1,1711890258196519568236112,2,12
2020.1,1711906865491670564556132,9,32
2020.1,1711931699024246565945213,1,13
2020.1,1711961333419018565634132,10,32
2020.1,1713011665395369564545113,4,13
2020.1,1713014158135362564559122,6,22
2020.1,1713016865023433564556123,5,23
2020.1,1713070233135321564536213,2,13
2020.1,1713070233135321564536213,2,13
2020.1,1713070233135321564536213,2,13
2020.1,1713070265523452564536112,3,12
2020.1,1713073592391808564538132,5,32
2020.1,1713073592391808564538132,5,32
2020.1,1713074165353494564559123,8,23
2020.1,1713074665522725564582133,11,33
2020.1,1713074665522725564582133,11,33
2020.1,1713101303020345563834123,8,23
2020.1,1713111603196465563845132,1,32
2020.1,1713113508393174563838212,4,12
2020.1,1713113508393174563838212,4,12
2020.1,1713114633527594563882212,2,12
2020.1,1713114633527594563882212,2,12
2020.1,1713140215139575564436132,9,32
2020.1,1713143503394886564438113,1,13
2020.1,1713143503394886564438113,1,13
2020.1,1713143992524423564444213,2,13
2020.1,1713145215391259564432213,1,13
2020.1,1713264658683213563282133,6,33
2020.1,1713470299467483563232132,11,32
2020.1,1713471603417439563245223,7,23
2020.1,1713471603417439563245223,7,23
2020.1,1713471625412490563245112,2,12
2020.1,1713471984688744563249122,6,22
